"iri"
"https://data.gov.cz/zdroj/datové-sady/http---opendata.praha.eu-api-3-action-package_show-id-praha8-sportoviste"
"https://data.gov.cz/zdroj/datové-sady/http---vdb.czso.cz-pll-eweb-package_show-id-cis5625"
